Ticker,Date,Revenue,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,ROA,ROE,LogAssets
SHEL,2024-09-29,71089.0,7411.0,8.26,394949.0,40.42,0.69,2.0914092705640473e-05,0.20435428005937653,12.886511921623288
SHEL,2024-12-30,66282.0,5753.0,8.82,387609.0,42.78,0.14,2.2754889592346926e-05,0.2061711079943899,12.867752378543415
SHEL,2025-03-30,69235.0,9471.0,7.4,389248.0,42.35,0.79,1.9011016113120686e-05,0.17473435655253838,12.871971951596981
SHEL,2025-06-29,65405.0,7219.0,7.42,387920.0,41.33,0.6,1.912765518663642e-05,0.1795306073070409,12.868554411779234
SHEL,2025-09-29,68152.0,7734.0,8.05,377738.0,41.6,0.9,2.1311067459456027e-05,0.1935096153846154,12.841956112588708
SHEL,2025-12-30,64093.0,6291.0,10.11,370350.0,43.15,0.71,2.7298501417577965e-05,0.23429895712630358,12.822203783441434
TSM,2021-12-30,15754.94,6571.5,29.65,134436.47,34.82,0.23,0.00022055027181240328,0.8515221137277427,11.808847024427969
TSM,2022-03-30,17556.2,7999.86,31.72,139462.67,35.21,0.28,0.00022744437633382463,0.900880431695541,11.845552245866363
TSM,2022-06-29,18166.83,8914.48,34.64,146268.89,36.43,0.31,0.0002368241120856253,0.9508646719736481,11.893201919146522
TSM,2022-09-29,20189.03,10218.08,38.08,146002.01,32.76,0.36,0.0002608183270901544,1.1623931623931625,11.891375667718995
TSM,2022-12-30,19968.73,10376.21,39.11,162369.72,30.09,0.36,0.00024087003414183383,1.2997673645729477,11.997631236123185
TSM,2023-03-30,16729.94,7605.88,37.11,165247.89,28.95,0.26,0.00022457170254942436,1.2818652849740932,12.015201989099888
TSM,2023-06-29,15669.47,6581.33,33.83,165423.4,29.57,0.23,0.00020450552944746632,1.1440649306729793,12.016263526776662
TSM,2023-09-29,17265.7,7202.24,30.43,170169.3,28.97,0.26,0.00017882191441111883,1.0503969623748706,12.044549102823497
TSM,2023-12-30,19670.63,8182.49,25.76,180313.25,27.53,0.29,0.00014286249069327963,0.9357065019978206,12.102450895121313
TSM,2024-03-30,18865.89,7927.1,25.43,181200.02,27.54,0.28,0.0001403421478651051,0.9233841684822077,12.107356782966285
TSM,2024-06-29,20832.41,8863.48,26.52,184050.09,26.92,0.3,0.00014409120908335333,0.9851411589895988,12.122963227804602
TSM,2024-09-29,23545.14,11181.23,28.3,194200.07,25.51,0.39,0.00014572600308537478,1.1093688749509996,12.176644195292438
TSM,2024-12-30,26857.91,13165.54,30.02,204115.85,24.29,0.45,0.0001470733409482899,1.2358995471387402,12.226443003793488
TSM,2025-03-30,25530.67,12383.67,32.17,214522.06,23.49,0.42,0.00014996126738667343,1.369518944231588,12.276167855884989
TSM,2025-06-29,30257.89,15016.43,33.3,240099.71,21.94,0.5,0.000138692379095335,1.5177757520510482,12.388809574378545
TSM,2025-09-29,33077.89,16730.26,34.81,241530.05,20.44,0.58,0.0001441228534503264,1.7030332681017613,12.394749174975736
TSM,2025-12-30,33712.24,18205.05,36.29,253184.31,19.57,0.63,0.00014333431641162914,1.8543689320388348,12.44187300050749
VLO,2021-12-30,35903.0,1594.0,4.96,57888.0,69.99,2.47,8.568269762299612e-05,0.0708672667523932,10.966265388195021
VLO,2022-03-30,38542.0,1384.0,13.82,60402.0,64.48,2.21,0.0002288003708486474,0.21433002481389576,11.008777495957478
VLO,2022-06-29,51641.0,6216.0,36.49,64345.0,56.66,11.57,0.0005670992307094569,0.6440169431697848,11.072014509927765
VLO,2022-09-29,44454.0,3792.0,47.68,59329.0,48.81,7.19,0.0008036541994640058,0.9768490063511575,10.990853504231156
VLO,2022-12-30,41746.0,4356.0,54.7,60982.0,45.68,8.14,0.0008969859958676331,1.1974605954465851,11.018334017642985
VLO,2023-03-30,36439.0,4043.0,62.29,60177.0,42.23,8.28,0.0010351130830716054,1.4750177598863368,11.005045498492807
VLO,2023-06-29,34509.0,2759.0,46.57,60667.0,40.45,5.41,0.0007676331448728304,1.1512978986402966,11.013155171881223
VLO,2023-09-29,38404.0,3503.0,44.73,63175.0,40.78,7.49,0.0007080332409972298,1.0968612064737615,11.053663932256395
VLO,2023-12-30,35414.0,1553.0,35.3,63056.0,40.4,3.58,0.0005598198426795229,0.8737623762376238,11.051778499434786
VLO,2024-03-30,31759.0,1679.0,27.41,62574.0,37.81,3.75,0.0004380413590309074,0.724940491933351,11.044105135349268
VLO,2024-06-29,34490.0,1221.0,23.13,63615.0,38.02,2.71,0.0003635934921009196,0.6083640189374013,11.060604570576801
VLO,2024-09-29,32876.0,507.0,14.37,60382.0,38.59,1.14,0.0002379848299162002,0.3723762632806426,11.008446326263101
VLO,2024-12-30,30756.0,348.0,10.86,60143.0,38.02,0.89,0.00018056964235239344,0.28563913729615986,11.004480338903296
VLO,2025-03-30,30258.0,231.0,3.73,59177.0,41.25,-1.9,6.303124524730892e-05,0.09042424242424242,10.988288231867655
VLO,2025-06-29,29889.0,997.0,3.07,59433.0,39.51,2.28,5.1654804569851766e-05,0.0777018476335105,10.992604906642436
